NO,INCHIKEY,Ontology,Platform,,,,,,,,,,,,
97,NEWOCWZHKWEHDW-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
98,IGERBKTWMBMXMC-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
99,UGUHMLPFSUCHTE-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
100,MWQCBVWCBTUPDQ-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
101,DHVGNYSCNRCFGZ-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
102,YDKRGMXLBRWZJR-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
103,YHGJECVSSKXFCJ-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
104,AUJVQJHODMISJP-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
105,NPTIBOCVSPURCS-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
106,IWSADGAQVYYXMM-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
107,GHUOUTZAMXXQQP-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
108,SVGHINSTYCDBLY-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
109,MEOHGYOFYYJDPV-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
110,IGMIBELQUVIBLL-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
111,NQOCRTYAJBFNHG-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
112,HVYWMOMLDIMFJA-UHFFFAOYSA-N,ST,Lipidomics,,,,,,,,,,,,
113,ABVVZYXTZLEOHP-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
115,PSHXNVGSVNEJBD-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
116,XZURZCGSKALDLA-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
117,NCECEOHSWNHORM-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
118,OQONQUAYXRQQLX-UHFFFAOYSA-N,NAE,Lipidomics,,,,,,,,,,,,
119,SDCNSBXLWRQJHO-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
120,QGIYDIZEXFWHDD-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
121,SGNBVLSWZMBQTH-UHFFFAOYSA-N,ST,Lipidomics,,,,,,,,,,,,
122,HIFHGEKXHBBCMU-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
123,MDDWQHVKSHTZTD-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
124,BUSRZFZXMUHNTO-UHFFFAOYSA-N,DHSph,Lipidomics,,,,,,,,,,,,
125,MQIUGAXCHLFZKX-UHFFFAOYSA-N,Others,Lipidomics,,,,,,,,,,,,
126,RUDATBOHQWOJDD-UZVSRGJWSA-N,BileAcid,Lipidomics,,,,,,,,,,,,
127,LMIJIHJZVURGQK-UHFFFAOYSA-N,NATau,Lipidomics,,,,,,,,,,,,
128,OLLPWVVZBXHISO-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
129,CMVGCHSJDXKPBB-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
130,OGNZXJOTYOMNKO-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
131,KZJWDPNRJALLNS-UHFFFAOYSA-N,ST,Lipidomics,,,,,,,,,,,,
132,JFAGPSOZZSTLRF-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
133,XOMRRQXKHMYMOC-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
134,HVSUZLSWJNESIE-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
135,DWSFAVOTORHAAL-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
136,WJCRATGUUISKDG-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
137,JMVLYNHXTPURKJ-UHFFFAOYSA-N,MG,Lipidomics,,,,,,,,,,,,
138,MJLXQSQYKZWZCB-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
139,IPOLTUVFXFHAHI-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
140,ONDSXKJTBLHASC-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
141,FNPHNLNTJNMAEE-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
142,FBJVDBBEYCMTHK-UHFFFAOYSA-N,NATau,Lipidomics,,,,,,,,,,,,
143,YNYLMBNSQWIMMP-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
144,RRTPYUGIBQLEDN-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
145,OKXWJISJKQKUTN-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
146,GWKZIORVZQMWMC-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
147,IUMSDRXLFWAGNT-UHFFFAOYSA-N,Others,Lipidomics,,,,,,,,,,,,
148,ZVFDTKUVRCTHQE-UHFFFAOYSA-N,Others,Lipidomics,,,,,,,,,,,,
149,DSOWUEHXZJUNID-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
150,YGHRPIWSZYSPRF-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
151,SRNPFTYGRLBDNK-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
152,YVYMBNSKXOXSKW-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
153,OLZWDVKTOGTVLC-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
154,NJGCXCOQLSTJQC-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
155,PVOQPLSKYNZHOT-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
156,SVJLJQBGUITFLI-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
157,FEVMHXFHFQFKSQ-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
158,WGYJVKYUUAEBMJ-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
159,DBVHWKABURKXNY-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
160,CDONWGCJDDHTLP-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
161,BHYOQNUELFTYRT-UHFFFAOYSA-N,SSulfate,Lipidomics,,,,,,,,,,,,
162,RVNBVQKDPQVSOY-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
163,JIJGULMDDZORPH-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
164,CBBTWAWCVXJVTL-UHFFFAOYSA-N,SSulfate,Lipidomics,,,,,,,,,,,,
165,VXUOFDJKYGDUJI-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
166,WLLMYDQRCSWAST-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
167,ZDSPJHYNNSRBAM-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
168,DBHKHNGBVGWQJE-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
169,DDCFSFYOVZMRHL-UHFFFAOYSA-N,NATau,Lipidomics,,,,,,,,,,,,
170,FOEFJGLJLQXUDF-UHFFFAOYSA-N,SSulfate,Lipidomics,,,,,,,,,,,,
171,AQVHGEARPUBXFZ-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
172,PYVRVRFVLRNJLY-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
173,NNLNVKVMYKIRMN-UHFFFAOYSA-N,SSulfate,Lipidomics,,,,,,,,,,,,
174,BBYWOYAFBUOUFP-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
175,KPOMNOXBHDPKBF-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
176,JSKJPUCKVIJTKI-UHFFFAOYSA-N,LPG,Lipidomics,,,,,,,,,,,,
177,RJZVWDTYEWCUAR-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
178,RKKJZVVEVRCBJA-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
179,WDWXOVLPQSTGNY-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
180,BVJSKAUUFXBDOB-UHFFFAOYSA-N,LPG,Lipidomics,,,,,,,,,,,,
181,DABXRYLPSUBPAR-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
182,VLPFTAMPNXLGLX-UHFFFAOYSA-N,TG,Lipidomics,,,,,,,,,,,,
183,MXMRHTIUADTCDH-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
184,OTJQGSOIXXCVNW-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
185,VPWQHJKTWWHENS-UHFFFAOYSA-N,SL,Lipidomics,,,,,,,,,,,,
186,AVEWHMSFODPPIG-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
187,IPVNPUHVCZJVOI-UHFFFAOYSA-N,SSulfate,Lipidomics,,,,,,,,,,,,
188,LFUDDCMNKWEORN-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
189,GEWUBFCXNZWHKH-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
190,PKPGKYPSMJMPGS-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
191,XIVOBOJQPNEUSC-UHFFFAOYSA-N,LPS,Lipidomics,,,,,,,,,,,,
192,ASWBNKHCZGQVJV-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
193,KCWGBXXAJHVZNN-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
194,JPNPIRVRGLGTRE-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
195,SUCJIOBGMPMVBJ-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
196,UEONHLLDVDPRRN-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
197,BGDIOBIONVKNIY-UHFFFAOYSA-N,DG,Lipidomics,,,,,,,,,,,,
198,QJHRNPQXCMXOOH-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
199,IJTGVGWSWIAEIH-UHFFFAOYSA-N,FA,Lipidomics,,,,,,,,,,,,
200,JEAGLCKGAKACCE-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
201,QQNAQRKNFKTYBP-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
202,VEEHTGYBVMTAAF-UHFFFAOYSA-N,LPG,Lipidomics,,,,,,,,,,,,
203,LPMGFNAQZPADDZ-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
204,HEQMDGOBDIGJOC-UHFFFAOYSA-N,LPE,Lipidomics,,,,,,,,,,,,
205,LGYDTKYITBAFRQ-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
206,RQTPQNXGVPRWNV-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
207,FQQQKGAFQIIGLQ-UHFFFAOYSA-N,LPG,Lipidomics,,,,,,,,,,,,
208,SRRQPVVYXBTRQK-UHFFFAOYSA-N,LPC,Lipidomics,,,,,,,,,,,,
209,KRKDKJNWLQGJLG-UHFFFAOYSA-N,CAR,Lipidomics,,,,,,,,,,,,
