name,class,VIP,ttest_p,utest_p,FC,fdr_adjust_ttest_p,bonferroni_adjust_utest_p,log2FoldChange,pvalue
11-Eicosenoic acid,Lipids and lipid-like molecules,1.767602318,4.28E-06,0.0003108,2.610007098,0.00083282,0.384149184,1.38405373,4.28E-06
2-Monoolein,Lipids and lipid-like molecules,1.800397002,1.06E-05,0.0003108,1.732297895,0.001311205,0.384149184,0.792687045,1.06E-05
(9Z)-Octadecenoic acid,Lipids and lipid-like molecules,1.540017156,1.64E-05,0.0003108,2.350689842,0.001828541,0.384149184,1.233084198,1.64E-05
Glyceryl monooleate,Lipids and lipid-like molecules,1.669554609,6.27E-05,0.0003108,3.386691911,0.003977271,0.384149184,1.75987675,6.27E-05
3-Aminopentanedioate,Lipids and lipid-like molecules,1.74510681,0.00011338,0.0003108,2.787884181,0.004832328,0.384149184,1.479170628,0.00011338
Heptadecanoic acid,Lipids and lipid-like molecules,1.702052351,0.00033238,0.0003108,1.930463275,0.009080312,0.384149184,0.948947109,0.00033238
Docosanoic acid,Lipids and lipid-like molecules,1.742877884,0.000592389,0.0003108,1.814375539,0.010749948,0.384149184,0.859473095,0.000592389
Glyceryl Monostearate,Lipids and lipid-like molecules,1.571160422,0.000593633,0.0003108,1.451603751,0.010749948,0.384149184,0.53764769,0.000593633
Tetradecanoic acid,Lipids and lipid-like molecules,1.789530064,0.000614378,0.000621601,1.925151406,0.010749948,0.768298368,0.944971913,0.000614378
"2,5,7,8-Tetramethyl-2-(5,9,13-trimethyltetradecyl)-3,4-dihydro-2h-chromen-6-ol",Lipids and lipid-like molecules,1.203403814,0.000620643,0.002175602,2.285043001,0.010749948,1,1.192221315,0.000620643
Nonadecanoic acid,Lipids and lipid-like molecules,1.682547895,0.000637362,0.0003108,2.664337907,0.010791499,0.384149184,1.413777065,0.000637362
Icosanoic acid,Lipids and lipid-like molecules,1.672947185,0.001067355,0.002175602,1.746857529,0.014823042,1,0.804761949,0.001067355
Nonanoic acid,Lipids and lipid-like molecules,1.520171275,0.001418783,0.003729604,1.402480768,0.017464012,1,0.487980988,0.001418783
Glyceryl palmitate,Lipids and lipid-like molecules,1.23944096,0.002096039,0.0003108,1.611658975,0.022142776,0.384149184,0.688546504,0.002096039
